Chip_ID,Wafer_X_Loc_mm,Wafer_Y_Loc_mm,Radial_Distance_mm,Test Flag,N_Contact_Area_um2,P_Contact_Area_um2,NP_Ratio_Check,Waveguide_Width_Avg_nm,Optical_Confinement_Factor_%,Grating_Coupler_Pitch_nm,DRC_Violations,Overall_Yield_Prediction,Pix_upd,Piy_upd
AA01,147,28,149.64,TRUE,1295.2,1281.87,Pass,469.5,83.31,633.4,0,High-Risk Edge,75.3,116.6
AA02,147,24.5,149.03,TRUE,1309.19,1282.2,Pass,476.6,85.46,629,0,High-Risk Edge,75.3,113.1
AA03,147,21,148.49,TRUE,1336.25,1315.87,Pass,473.6,84.21,629.3,0,High-Risk Edge,75.3,109.6
AA04,147,17.5,148.04,TRUE,1295.88,1317.47,Pass,476.3,84.11,629.8,1,High-Risk Edge,75.3,106.1
AA05,147,14,147.67,TRUE,1305.39,1326.34,Pass,482.3,85.49,631.7,0,High-Risk Edge,75.3,102.6
AA06,147,10.5,147.37,TRUE,1268.07,1312.25,Pass,472.5,86.31,633.1,1,High-Risk Edge,75.3,99.1
AA07,147,7,147.17,TRUE,1314.17,1324.23,Pass,472.1,85.52,626.1,0,High-Risk Edge,75.3,95.6
AA08,147,3.5,147.04,TRUE,1263.36,1305.99,Pass,465.3,85.27,631.9,0,High-Risk Edge,75.3,92.1
AA09,147,0,147,TRUE,1296.5,1264.66,Pass,477.7,85.1,631.3,0,High-Risk Edge,75.3,88.6
AA10,147,3.5,147.04,TRUE,1312.86,1303.02,Pass,478.4,84.02,630.1,0,High-Risk Edge,75.3,92.1
AA11,147,7,147.17,TRUE,1328.61,1292.05,Pass,479.8,87.32,631,0,High-Risk Edge,75.3,95.6
AA12,147,10.5,147.37,TRUE,1295.83,1249.24,Pass,476,85.75,630.1,0,High-Risk Edge,75.3,99.1
AA13,147,14,147.67,TRUE,1340.96,1274.09,Fail,470.6,84.76,629.6,2,High-Risk Edge,75.3,102.6
AA14,147,17.5,148.04,TRUE,1344.21,1271.34,Fail,481.7,85.44,631.5,1,High-Risk Edge,75.3,106.1
BA01,147,21,148.49,TRUE,1299.98,1359.66,Pass,477.4,84.22,630.3,0,High-Risk Edge,75.3,109.6
BA02,147,24.5,149.03,TRUE,1308.72,1307.91,Pass,469.3,84.73,629.3,0,High-Risk Edge,75.3,113.1
BA03,147,28,149.64,TRUE,1321.49,1290.71,Pass,475.1,83.86,632.6,0,High-Risk Edge,75.3,116.6
BA04,143.5,42,149.52,TRUE,1313.17,1325.89,Pass,474.7,85.03,632.2,0,High-Risk Edge,71.8,130.6
